"",AUTORITATE PUBLICĂ TUTELARĂ (APT),NUME ÎNTREPRINDERE PUBLICĂ,CUI,"NUME PERSONALCONDUCERE","CALITATE (membru CA/CSdirector/membrudirectorat)","VALOARE INDEMNIZAȚIE FIXĂLUNARĂ CONFORM CONTRACT(Brut-Lei)*","VALOARE INDEMNIZAȚIE VARIABILAANUALĂ CONFORM CONTRACT(Brut-Lei)*"
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
126,,SOCIETATEA NATIONALA DE RADIOCOMUNICAȚII,10881986,Frunzete Corneliu-Madalin,Director/directorat,"3 1,000",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
126,,SOCIETATEA NATIONALA DE RADIOCOMUNICAȚII,10881986,Pocora Mihail-Silviu,Membru CA/CS,"1 5,000",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
126,,SOCIETATEA NATIONALA DE RADIOCOMUNICAȚII,10881986,Banciu Mihaela-Leila,Membru CA/CS,"1 5,000",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
126,,SOCIETATEA NATIONALA DE RADIOCOMUNICAȚII,10881986,Botezatu Vali-Sonia,Membru CA/CS,"1 5,000",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
126,,SOCIETATEA NATIONALA DE RADIOCOMUNICAȚII,10881986,Demian Ioan-Alin,Membru CA/CS,"1 5,000",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
126,,SOCIETATEA NATIONALA DE RADIOCOMUNICAȚII,10881986,Frunzete Corneliu-Madalin,Membru CA/CS,-,-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
127,,COMPANIA NAȚIONALĂ POȘTA ROMÂNĂ,427410,,Membru CA/CS,,,-
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"",,,,Cateliu Daniel,,"17,825",,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
127,,COMPANIA NAȚIONALĂ POȘTA ROMÂNĂ,427410,,Membru CA/CS,,,-
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"",,,,Prahoveanu Alina,,"17,825",,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
127,,COMPANIA NAȚIONALĂ POȘTA ROMÂNĂ,427410,,Membru CA/CS,,,-
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"",,,,Bondalici Mihai Mădălin,,"17,825",,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
127,,COMPANIA NAȚIONALĂ POȘTA ROMÂNĂ,427410,,Membru CA/CS,,,-
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"",,,,Zaharia Alexandru Florin,,"17,825",,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
127,,COMPANIA NAȚIONALĂ POȘTA ROMÂNĂ,427410,,Membru CA/CS,,,-
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"",,,,Poşa Viorel,,"17,385",,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
127,,COMPANIA NAȚIONALĂ POȘTA ROMÂNĂ,427410,,Membru CA/CS,,,-
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"",,,,Demian Ioan Alin,,"17,385",,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
127,,COMPANIA NAȚIONALĂ POȘTA ROMÂNĂ,427410,,Membru CA/CS,,,-
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"",,,,Precup Mihai Călin,,"17,385",,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
127,,COMPANIA NAȚIONALĂ POȘTA ROMÂNĂ,427410,,Director/directorat,"29,604",,-
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"",,,,Ştefan Florin Valentin,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
127,,COMPANIA NAȚIONALĂ POȘTA ROMÂNĂ,427410,,Director/directorat,"29,604",,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"",,,,Butiseacă Alexandru,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
128,,ICEM,459853,Stoica Istrate Dumitru,Membru CA/CS,"1,908",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
128,,ICEM,459853,Nitu Cristian,Membru CA/CS,"1,908",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
128,,ICEM,459853,Rapeanu Razvan-Ionut,Membru CA/CS,"1,908",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
128,,ICEM,459853,Bratu Marian,Director/directorat,"9,855 + 25% spor vechime 2,464",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
129,,IPROCHIM,457747,Boroda George,Membru CA/CS,"3,328",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
129,,IPROCHIM,457747,Stoianovici Marius-Mihail,Membru CA/CS,"3,328",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
129,,IPROCHIM,457747,Moraru Mihai,Membru CA/CS,"3,328",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
129,,IPROCHIM,457747,Popescu Marius-Ioan,Membru CA/CS,"3,328",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
129,,IPROCHIM,457747,Andrei Florin,Membru CA/CS,"3,328",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
129,,IPROCHIM,457747,Țiclea Tiberiu,Director/directorat,"1 6,344",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
129,,IPROCHIM,457747,Stoe Gabriel,Director/directorat,"1 4,500",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
130,,AVIOANE CRAIOVA,2326144,Alexandra Andreea Costache,Membru CA/CS,"4,645",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
130,,AVIOANE CRAIOVA,2326144,Iulian Diaconu,Membru CA/CS,"4,645",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",AVIOANE CRAIOVA,2326144,Andra Teodora Dina,Membru CA/CS,"4,645",-
130,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",AVIOANE CRAIOVA,2326144,Oana Elena Nemțeanu,Membru CA/CS,"4,645",-
130,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",AVIOANE CRAIOVA,2326144,Simona Smărăndache,Membru CA/CS,"4,645",-
130,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",AVIOANE CRAIOVA,2326144,Nicu Fălcoi,Membru CA/CS,"4,645",-
130,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",AVIOANE CRAIOVA,2326144,Claudia Gasparini,Membru CA/CS,"4,645",-
130,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",AVIOANE CRAIOVA,2326144,Iulia Dudu,Membru CA/CS,"4,645",-
130,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",AVIOANE CRAIOVA,2326144,Monica Roșca,Membru CA/CS,"4,645",-
130,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",AVIOANE CRAIOVA,2326144,Bogdan Lucian Crăciunaș,Membru CA/CS,"4,645",-
130,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",AVIOANE CRAIOVA,2326144,Victor Munteanu,Director/directorat,"2 4,723",-
130,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",AVIOANE CRAIOVA,2326144,Cristiana Moțățăianu,Director/directorat,"2 4,599",-
130,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",AVIOANE CRAIOVA,2326144,Verginica Diaconu,Director/directorat,"1 9,494",-
131,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",ROMFILATELIA,16184414,Popescu Cristina,Director/directorat,"3 8,627",-
131,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",ROMFILATELIA,16184414,Pavel Laura,Director/directorat,"2 0,000",-
131,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",ROMFILATELIA,16184414,Munteanu Petronel,Membru CA/CS,"4,273",-
132,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",INCERTRANS,4282451,Cladoveanu Flavius-Valeriu,Director/directorat,"39,534",-
132,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",INCERTRANS,4282451,Cladoveanu Flavius-Valeriu,Membru CA/CS,-,
132,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",INCERTRANS,4282451,Buică Nicușor-Marian,Membru CA/CS,"8,985",
132,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",INCERTRANS,4282451,Zapciu Miron,Membru CA/CS,-,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
132,,INCERTRANS,4282451,Zapciu Miron,Director/directorat,"28,033",,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
132,,INCERTRANS,4282451,Puiu Marius Cristian,Membru CA/CS,"8,985",,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,Matei Mirona Alexandra,,,,
132,,INCERTRANS,4282451,,Membru CA/CS,"8,985",,
"",ANTREPRENORIATULUI SI TURISMULUI,,,(Numită Prin Decizie C.A.),,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,","COMPANIA NATIONALA A CUPRULUI,AURULUI SI FIERULUI",,,,,,
133,,,4330648,Rus Dorin,Membru CA/CS,"4,873",,
"",ANTREPRENORIATULUI SI TURISMULUI,"""MINVEST"" DEVA FILIALA ""ROSIAMIN"" ROSIA MONTANA SA",,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",COMPANIA NATIONALA A CUPRULUI AURULUI SI FIERULUI,,,,,,
134,,,14271549,Balaj Liviu,Membru CA/CS,"6,100",,
"",ANTREPRENORIATULUI SI TURISMULUI,MINVEST SA DEVA FILIALA CERTEJ SA,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,"Nu A Raportat, Lipsa Date",,,,
135,,MINVEST ROŞIA MONTANĂ  S.A.,32387844,,neraportat,neraportat,,neraportat
"",ANTREPRENORIATULUI SI TURISMULUI,,,Recom,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
136,,ROMAERO SA,1576401,Insolventa/Diverse,Insolventa/Diverse,Insolventa/Diverse,,insolventa
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL DEZVOLTARII, LUCRARILOR PUBLICE SI",,,,,,,
137,,"COMPANIA NATIONALA DE INVESTITII ""C.N.I.""",14273221,Urmeaza Nominalizarea,Membru CA/CS,"3,752",,
"",ADMINISTRATIEI,,,,,,,
"","MINISTERUL DEZVOLTARII, LUCRARILOR PUBLICE SI",,,,,,,
137,,"COMPANIA NATIONALA DE INVESTITII ""C.N.I.""",14273221,Urmeaza Nominalizarea,Membru CA/CS,"3,752",,
"",ADMINISTRATIEI,,,,,,,
"","MINISTERUL DEZVOLTARII, LUCRARILOR PUBLICE SI",,,,,,,
137,,"COMPANIA NATIONALA DE INVESTITII ""C.N.I.""",14273221,Urmeaza Nominalizarea,Membru CA/CS,"3,752",,
"",ADMINISTRATIEI,,,,,,,
"","MINISTERUL DEZVOLTARII, LUCRARILOR PUBLICE SI",,,,,,,
137,,"COMPANIA NATIONALA DE INVESTITII ""C.N.I.""",14273221,Urmeaza Nominalizarea,Membru CA/CS,"3,752",,
"",ADMINISTRATIEI,,,,,,,
"","MINISTERUL DEZVOLTARII, LUCRARILOR PUBLICE SI",,,,,,,
137,,"COMPANIA NATIONALA DE INVESTITII ""C.N.I.""",14273221,Urmeaza Nominalizarea,Membru CA/CS,"3,752",,
"",ADMINISTRATIEI,,,,,,,
"","MINISTERUL DEZVOLTARII, LUCRARILOR PUBLICE SI",,,,,,,
137,,"COMPANIA NATIONALA DE INVESTITII ""C.N.I.""",14273221,Manuela Irina Patrascoiu,Director/directorat,neraportat,,
"",ADMINISTRATIEI,,,,,,,
"","MINISTERUL DEZVOLTARII, LUCRARILOR PUBLICE SI",,,,,,,
137,,"COMPANIA NATIONALA DE INVESTITII ""C.N.I.""",14273221,Daniela Ileana Orodel,Director/directorat,neraportat,,
"",ADMINISTRATIEI,,,,,,,
"","MINISTERUL MUNCII, FAMILIEI, TINERETULUI ȘI",,,,,,,
138,,BIROUL DE TURISM PENTRU TINERET (B.T.T.),1573170,Bud Ana Maria,Membru CA/CS,"4,477",-,
"",SOLIDARITĂȚII SOCIALE,,,,,,,
"","MINISTERUL MUNCII, FAMILIEI, TINERETULUI ȘI",,,,,,,
138,,BIROUL DE TURISM PENTRU TINERET (B.T.T.),1573170,Burcea Eugen,Membru CA/CS,"4,477",-,
"",SOLIDARITĂȚII SOCIALE,,,,,,,
"","MINISTERUL MUNCII, FAMILIEI, TINERETULUI ȘI",,,,,,,
138,,BIROUL DE TURISM PENTRU TINERET (B.T.T.),1573170,Ciobanu Ionel,Membru CA/CS,"4,477",-,
"",SOLIDARITĂȚII SOCIALE,,,,,,,
"","MINISTERUL MUNCII, FAMILIEI, TINERETULUI ȘI",,,,,,,
138,,BIROUL DE TURISM PENTRU TINERET (B.T.T.),1573170,Iacob Adrian,Director/directorat,"1 6,872",-,
"",SOLIDARITĂȚII SOCIALE,,,,,,,
"","MINISTERUL MUNCII, FAMILIEI, TINERETULUI ȘISOLIDARITĂȚII SOCIALE",B.T.T.PERLA COSTINESTIULUI SA,4475150,Motoc Elena,Membru CA/CS,"4,477",
139,"MINISTERUL MUNCII, FAMILIEI, TINERETULUI ȘISOLIDARITĂȚII SOCIALE",B.T.T.PERLA COSTINESTIULUI SA,4475150,Dragu Marius-Alexandru,Membru CA/CS,-,
139,"MINISTERUL MUNCII, FAMILIEI, TINERETULUI ȘISOLIDARITĂȚII SOCIALE",B.T.T.PERLA COSTINESTIULUI SA,4475150,Iacob Adrian,Membru CA/CS,"4,477",
139,"MINISTERUL MUNCII, FAMILIEI, TINERETULUI ȘISOLIDARITĂȚII SOCIALE",B.T.T.PERLA COSTINESTIULUI SA,4475150,Dragu Marius Alexandru,Director/directorat,"2 0,184",
140,"MINISTERUL MUNCII, FAMILIEI, TINERETULUI ȘISOLIDARITĂȚII SOCIALE","SOCIETATEA DE TRATAMENT BALNEAR SI RECUPERARE ACAPACITATII DE MUNCA TBRCM SA",15619634,Jugănaru Georgeta,Membru CA/CS,"3,948",
140,"MINISTERUL MUNCII, FAMILIEI, TINERETULUI ȘISOLIDARITĂȚII SOCIALE","SOCIETATEA DE TRATAMENT BALNEAR SI RECUPERARE ACAPACITATII DE MUNCA TBRCM SA",15619634,Floroian Stelian-Olimpiu,Membru CA/CS,"3,948",
140,"MINISTERUL MUNCII, FAMILIEI, TINERETULUI ȘISOLIDARITĂȚII SOCIALE","SOCIETATEA DE TRATAMENT BALNEAR SI RECUPERARE ACAPACITATII DE MUNCA TBRCM SA",15619634,Rădulescu Ion-Lucian,Membru CA/CS,-,
140,"MINISTERUL MUNCII, FAMILIEI, TINERETULUI ȘISOLIDARITĂȚII SOCIALE","SOCIETATEA DE TRATAMENT BALNEAR SI RECUPERARE ACAPACITATII DE MUNCA TBRCM SA",15619634,Popescu Ion,Membru CA/CS,"3,948",
140,"MINISTERUL MUNCII, FAMILIEI, TINERETULUI ȘISOLIDARITĂȚII SOCIALE","SOCIETATEA DE TRATAMENT BALNEAR SI RECUPERARE ACAPACITATII DE MUNCA TBRCM SA",15619634,Rădulescu Ion-Lucian,Director/directorat,"20,184",
141,MINISTERUL EDUCATIEI,EDITURA DIDACTICĂ ŞI PEDAGOGICĂ,1589983,Adam Mariana,Membru CA/CS,"1,900",
141,MINISTERUL EDUCATIEI,EDITURA DIDACTICĂ ŞI PEDAGOGICĂ,1589983,Grosu Darie George,Membru CA/CS,"1,900",
141,MINISTERUL EDUCATIEI,EDITURA DIDACTICĂ ŞI PEDAGOGICĂ,1589983,Toma Mirela Gabriela,Membru CA/CS,"1,900",
141,MINISTERUL EDUCATIEI,EDITURA DIDACTICĂ ŞI PEDAGOGICĂ,1589983,Bogdan Daniela Elisabeta,Membru CA/CS,"1,900",
141,MINISTERUL EDUCATIEI,EDITURA DIDACTICĂ ŞI PEDAGOGICĂ,1589983,Săftoiu Elwis Claudiu,Membru CA/CS,-,
141,MINISTERUL EDUCATIEI,EDITURA DIDACTICĂ ŞI PEDAGOGICĂ,1589983,Săftoiu Elwis Claudiu,Director/directorat,"17,760",
142,MINISTERUL EDUCATIEI,SOCIETATEA IN SERVICII IN INFORMATICA PITESTI,128418,Insolventa/Diverse,Insolventa/Diverse,Insolventa/Diverse,Insolventa/diverse
143,SERVICIUL ROMAN DE INFORMATII,RASIROM,7061781,Trocan Laurențiu,Membru CA/CS,-,-
143,SERVICIUL ROMAN DE INFORMATII,RASIROM,7061781,Vîlcu Daniel,Membru CA/CS,"18,330",-
"",SERVICIUL ROMAN DE INFORMATII,RASIROM,7061781,Panainte Coralia,Membru CA/CS,"18,330",-
143,SERVICIUL ROMAN DE INFORMATII,RASIROM,7061781,Avram Claudius-Virgil,Membru CA/CS,"18,330",-
143,SERVICIUL ROMAN DE INFORMATII,RASIROM,7061781,Andrei Dan,Membru CA/CS,"18,330",-
143,SERVICIUL ROMAN DE INFORMATII,RASIROM,7061781,Mladin Cătălin-Ionuț,Membru CA/CS,"18,330",-
143,SERVICIUL ROMAN DE INFORMATII,RASIROM,7061781,Ciupitu Gabriel,Membru CA/CS,"18,330",-
143,SERVICIUL ROMAN DE INFORMATII,RASIROM,7061781,Trocan Laurențiu,Director/directorat,54990+54990,"109,980"
